t1.node,t2.node,est.net,ci.lower,ci.upper
ANX,TIR,0,-0.0809656402412207,0.115066119698009
AFR,TIR,0,-0.109076256888532,0.0652367942627086
FAI,TIR,0,-0.0935822512065222,0.0864208562087411
GUI,TIR,0,-0.171334919570967,0.0050201714986445
PUN,TIR,0,-0.0611721332147601,0.122602538672983
CRY,TIR,0,-0.0348415451641306,0.132001765009972
IND,TIR,0,-0.178486594901832,0.00310690837930476
LIB,TIR,0,-0.1133666697418,0.052202345519617
PHY,TIR,0,-0.10708708602183,0.0533898063675672
IMP,TIR,0,-0.183117739339242,0.00124070810144662
TIR,TIR,0.334295889651385,0.241020826920126,0.427992092546246
WOR,TIR,0,-0.142374201672704,0.0723795734556993
ANH,TIR,0,-0.0687631544087377,0.127235205973807
DIS,TIR,0,-0.106843664435538,0.0830226269436238
RES,TIR,0.123779906183668,0.0238582545469437,0.226413940481589
SUI,TIR,0.0874722021869343,0.000235415534693709,0.17440610863342
SAD,TIR,0,-0.0765693935065965,0.131710145132031
APP,TIR,0,-0.03792422085479,0.13149396594325
CON,TIR,0.0980616023625185,0.00571693926602318,0.189423800888464
SLE,TIR,0,-0.0104426557174594,0.168839340210906
TREAT,TIR,0,-0.21126156897804,0.0968644721036983
BAD,WOR,0,-0.134051911512257,0.0595193006106566
ANX,WOR,0.110706613528025,0.0136213406871675,0.210216084822962
AFR,WOR,0.151851565412456,0.0648185164612185,0.239649801795559
FAI,WOR,0,-0.0748053742891646,0.105724455333468
GUI,WOR,-0.107760229081746,-0.196585310123744,-0.019707063306539
PUN,WOR,0,-0.0797135422400663,0.104582893297967
CRY,WOR,0.0878792693728542,0.00502848742054227,0.172355476886938
IND,WOR,0,-0.113795222301296,0.0683373330409343
LIB,WOR,0,-0.102164312250077,0.063874774457106
PHY,WOR,0,-0.0610806575873265,0.0998570190503279
IMP,WOR,0,-0.0709473698311457,0.11394392545401
TIR,WOR,0,-0.155049814301339,0.0324408595336421
WOR,WOR,0.312099830763286,0.208174203737139,0.423534647448752
ANH,WOR,0,-0.108022276994076,0.0885539186677396
DIS,WOR,0,-0.107414933642635,0.0830092423845869
RES,WOR,0,-0.138810043000248,0.0643474710938488
SUI,WOR,0.12008003875896,0.0338663067613475,0.20854978535731
SAD,WOR,0,-0.143939834783822,0.0649561758428426
APP,WOR,0.131627288014791,0.0483322608381623,0.218248356247139
CON,WOR,0,-0.0785132696513176,0.10572732557781
SLE,WOR,0,-0.0748529877284961,0.104963319444129
TREAT,WOR,-0.0840467121579233,-0.32389996073726,-0.0148660738275311
BAD,ANH,0,-0.105144372254649,0.0978306194751527
ANX,ANH,0,-0.0332078811096048,0.172939206423592
AFR,ANH,0.125071605949989,0.0342286280406181,0.217552781469369
FAI,ANH,0,-0.0970321721610054,0.0922672020837038
GUI,ANH,0,-0.13223628943178,0.0532346512836582
PUN,ANH,0,-0.0830676477843889,0.110179916291796
CRY,ANH,0,-0.0332864941990552,0.142170103285122
IND,ANH,0,-0.0775551594619376,0.11342466359358
LIB,ANH,0,-0.12674293407859,0.0473618072603314
PHY,ANH,0,-0.0772998436903717,0.0914580472672926
IMP,ANH,0,-0.127825508502494,0.0660462373734011
TIR,ANH,0,-0.078067189764664,0.118534705724322
WOR,ANH,0,-0.144855612923688,0.0809685075561116
ANH,ANH,0.272240020421151,0.171063733934167,0.377190092641259
DIS,ANH,0,-0.105242139649129,0.0944328726807172
RES,ANH,0,-0.0444451578720248,0.16858195994599
SUI,ANH,0.099014595314652,0.00876133075313962,0.191931538662242
SAD,ANH,0,-0.134309283000685,0.0847355655378053
APP,ANH,0,-0.0630535236187397,0.115116602869287
CON,ANH,0,-0.0489566772125842,0.144234514217132
SLE,ANH,0,-0.0860484896860495,0.102502479157655
TREAT,ANH,0,-0.302066832960408,0.0219782094774103
BAD,DIS,0,-0.00696839991394395,0.189395052751854
ANX,DIS,0,-0.0791766362634037,0.120275845547839
AFR,DIS,0.102808440280316,0.0132999078740663,0.19072978908879
FAI,DIS,0,-0.146706533585444,0.0364759184669738
GUI,DIS,0,-0.129202359831163,0.0503050955728812
PUN,DIS,0,-0.0490047014668716,0.13793381218224
CRY,DIS,0,-0.0496485539661028,0.120118477791254
IND,DIS,0,-0.0764691271496256,0.10836743354967
LIB,DIS,0,-0.071012747973063,0.0974071772970354
PHY,DIS,0,-0.073351493308641,0.0899209083648476
IMP,DIS,0,-0.0758712091430971,0.111701805918914
TIR,DIS,0.117700603785444,0.0227931029629141,0.212948977255004
WOR,DIS,0,-0.178226635055307,0.040217064410705
ANH,DIS,0,-0.126633271918866,0.0728545021326738
DIS,DIS,0.198548179530331,0.0995797924195923,0.292812781614635
RES,DIS,0,-0.0392695344061028,0.166909956135893
SUI,DIS,0.106946822580537,0.0182147578362459,0.195483160461381
SAD,DIS,0,-0.0420921456200244,0.169902397006294
APP,DIS,0,-0.105897608783928,0.0665195962742359
CON,DIS,0,-0.0573369808055813,0.12959673214347
SLE,DIS,0,-0.115778698440963,0.0667166838386276
TREAT,DIS,0,-0.240692353029935,0.0729028786789811
BAD,RES,0,-0.130448457720612,0.065168184865476
ANX,RES,0,-0.100225638090114,0.098462839389981
AFR,RES,0,-0.0408347266788389,0.135904307212061
